,"en","de","es","fr","ko","pl","pt","ru","zh","ja"
"# Mod name and description",,,,,,,,,,
"Title","Real Time Statistics",,,,,,,,,
"Description","Record and graph hourly statistics. To be used with the Real Time MOD",,,,,,,,,,
,,,,,,,,,,
"# General options UI",,,,,,,,,,
"General","General","Allgemein","General","Général","기본","Ogólny","Geral","Общий","基本的","全般"
"ChooseYourLanguage","Choose your language:","Wähle deine Sprache:","Elige tu idioma:","Choisissez votre langue:","당신의 언어를 선택하세요:","Wybierz swój język:","Escolha o seu idioma:","Выберите ваш язык:","选择你的语言：","言語を選択してください："
"GameLanguage","Game language","Spielsprache","Idioma del juego","Langue du jeu","게임 언어","Język gry","Linguagem do Jogo","Язык игры","游戏语言","ゲームの言語"
"LanguageName","English","Deutsch","Español","Français","한국어","Polski","Português","Русский","中文 (简体)","日本語"
"CurrentValueUpdateInterval","Current value update interval (seconds)","Aktualisierungsintervall des aktuellen Werts (Sekunden)","Intervalo de actualización del valor actual (segundos)","Intervalle de mise à jour de la valeur actuelle (secondes)","현재 값 업데이트 간격(초)","Interwał aktualizacji wartości bieżącej (sekundy)","Intervalo de atualização do valor atual (segundos)","Интервал обновления текущего значения (секунды)","当前值更新间隔（秒）","現在の値の更新間隔（秒）"
,,,,,,,,,,
"# In-game options UI",,,,,,,,,,
"InGame","In Game","Im Spiel","En el juego","Dans le jeu","게임 내","W grze","No jogo","В игре","在游戏中","ゲームで"
"ExportAllStatistics","Export all statistics","Alle Statistiken exportieren","Exportar todas las estadísticas","Exporter toutes les statistiques","모든 통계 내보내기","Eksportuj wszystkie statystyki","Exportar todas as estatísticas","Экспорт всей статистики","导出所有统计信息","すべての統計をエクスポートする"
"ExportSelectedStatistics","Export selected statistics","Ausgewählte Statistiken exportieren","Exportar estadísticas seleccionadas","Exporter les statistiques sélectionnées","선택한 통계 내보내기","Eksportuj wybrane statystyki","Exportar estatísticas selecionadas","Экспорт выбранной статистики","导出选定的统计信息","選択した統計をエクスポート"
"ExportFile","Export file (not editable):","Exportdatei (nicht editierbar):","Exportar archivo (no editable):","Fichier d'exportation (non modifiable) :","내보내기 파일(편집 불가):","Eksportuj plik (nieedytowalny):","Arquivo de exportação (não editável):","Файл экспорта (не редактируется):","导出文件（不可编辑）：","ファイルのエクスポート（編集不可）："
"SnapshotDate","Snapshot Date","Schnappschuss-Datum","Fecha de la instantánea","Date de l'instantané","스냅샷 날짜","Data migawka","Data do Instantâneo","Дата снимка","快照日期","スナップショットの日付"
"DeleteSnapshots","Delete snapshots","Schnappschüsse löschen","Eliminar instantáneas","Supprimer les instantanés","스냅샷 삭제","Usuń migawki","Excluir instantâneos","Удалить снимки","删除快照","スナップショットを削除"
